CFF_reference,Critical_appraisal_keep,Critical_appraisal,Class,Spname_common,Spname_raw,Species_phylo,Spname_accepted,habitat,forage_light_level,mode_of_life,mode-of_life_ref,body_mass_us,body_mass_ref,Method_raw,Method,CFF_value_type,CFF,CFF_max_from_Lafitte_2022,Comments_from_Lafitte_2022,,
"Hasenei, Aaron; Kerstetter, David W.; Horodysky, Andrij Z.; Brill, Richard W. 2020 Physiological limits to inshore invasion of Indo-Pacific lionfish (Pterois spp.): insights from the functional characteristics of their visual system and hypoxia tolerance Physiological limits to inshore invasion of Indo-Pacific lionfish (Pterois spp.): insights from the functional characteristics of their visual system and hypoxia tolerance Hasenei, Aaron; Kerstetter, David W.; Horodysky, Andrij Z.; Brill, Richard W.",y,L,Actinopterygii,Butterfly cods,Pterois spp,Pterois_volitans,"PteroisÊsp. Oken, 1817",pelagic,high,ballistic,"Van Leeuwen JL, Muller M (1984) Optimum sucking techniques for predatory fish. Trans Zool Soc London 37:137Ð169",38,mass as median from measured specimens in CFF test,ERG,Electrophysiology,median,88,92,"median for max illuminance (35 hz for ambiant light) ; diagram reading: min 58 Hz and max 92 Hz ;""Although lionfish are native to the clear tropical waters of the Indo-Pacific, they are crepuscular foragers in their native range""",,
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2010 Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",y,M,Actinopterygii,Cobia,Rachycentron canadum,Rachycentron_canadum,"Rachycentron canadumÊLinnaeus, 1766",demersal,high,ballistic,"Adults_switch_to_fast_moving_fish_Behzadi, S., Kamrani, E., Kaymaram, F. and Ranjbar, M.S., 2018. Trophic level, food preference and feeding ecology of Rachycentron canadum (Linnaeus, 1766), in Hormuzgan Province waters (northern Persian Gulf and Oman Sea).",9305.31,fisebase_110cm common length,ERG,Electrophysiology,mean,66,69,"diagram reading, mean, SE ; day-time experiment value, ""shallow"" foraging",,
"Hanyu, I.; Ali, M. A. 1964 Electroretinogram and its flicker fusion frequency at different tempretures in light adapted salmon (Salmo salar Electroretinogram and its flicker fusion frequency at different tempretures in light adapted salmon (Salmo salar Hanyu, I.; Ali, M. A.",y,L,Actinopterygii,Salmon,Salmo salar,Salmo_salar,"Salmo salarÊLinnaeus, 1758",pelagic,high,ballistic,"Alexander V. Orlov, Yuri V. Gerasimov, Oleg M. Lapshin, The feeding behaviour of cultured and wild Atlantic salmon, Salmo salar L., in the Louvenga River, Kola Peninsula, Russia, ICES Journal of Marine Science, Volume 63, Issue 7, 2006, Pages 1297Ð1303, https://doi.org/10.1016/j.icesjms.2006.05.004",635,mass from commen length of 38cm and converted in fishbase,ERG,Electrophysiology,mean,95.8,102.3,maximum mean value at 25¡C ; 73.5 ± 4.3 at 15¡C and 47.7 ± 5.6 Hz at 5¡C for higest light intensities tested (390 and 600 ft-c) (definite plateau not attained),,
"Ali, M. A.; Kobayashi, H. 1968 Electroretinogram - Flicker fusion frequency in albino trout Electroretinogram - Flicker fusion frequency in albino trout Ali, M. A.; Kobayashi, H.",y,M,Actinopterygii,American brook charr,Salvelinus fontinalis,Salvelinus_fontinalis,"Salvelinus fontinalisÊMitchill, 1814",pelagic,high,ballistic,"Farwell, M. and McLaughlin, R.L., 2009. Alternative foraging tactics and risk taking in brook charr (Salvelinus fontinalis). Behavioral Ecology, 20(5), pp.913-921.",214,fisebase_from_26.4cm_common_length,ERG,Electrophysiology,mean,68,75,diagram reading of the mean for light adapted animals at maximum intensity of 600 ft-c; higher valuer for albinos for lower intensities; range of values (~59.58-74.98),,
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2008 Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",y,L,Actinopterygii,Red drum,Sciaenops ocellatus,Sciaenops_ocellatus,"Sciaenops ocellatusÊLinnaeus, 1766",demersal,high,ballistic,feeds_on_finfish_and_other_nekton_from_fishbase,11468.83,fisebase_from_100cm_common_length,ERG,Electrophysiology,mean,55,56,"diagram reading, mean ; day-time experiment value",,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Actinopterygii,Longspine thornyhead,Sebastolobus altivelis,Sebastolobus_altivelis,"Sebastolobus altivelisÊGilbert, 1896",demersal,low,forage,feeds on brittlestars from COSEWIC 2007. COSEWIC assessment and status report on the longspine thornyhead Sebastolobus altivelis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 27 pp. (www.sararegistry.gc.ca/status/status_e.cfm),200,mean from COSEWIC 2007. COSEWIC assessment and status report on the longspine thornyhead Sebastolobus altivelis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 27 pp. (www.sararegistry.gc.ca/status/status_e.cfm,ERG,Electrophysiology,Unknown,10,10,"individual lower fusion frequency (not averaged); ""deep water""",,
"Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran 2009 Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran",y,M,Actinopterygii,Painted comber,Serranus scriba,Serranus_scriba,"Serranus scribaÊLinnaeus, 1758",demersal,high,ballistic,Fishbase_includes_finfish_in_diet,211.67,fishbase 25cm common length,ERG,Electrophysiology,mean,25,25,mean ; not maximum light intensity,,
"Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K. 2013 Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K.",y,L,Actinopterygii,Tautog,Tautoga onitis,Tautoga_onitis,"Tautoga onitisÊLinnaeus, 1758",demersal,high,forage,Based_off_gastropd_diet_fishbase,2424.91,fishbase 48.2cm median length,ERG,Electrophysiology,mean,48,48,mean ; day-time experiment value ; FFFmax,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Actinopterygii,Yellowfin tuna,Thunnus albacares,Thunnus_albacares,"Thunnus albacaresÊBonnaterre, 1788",pelagic,high,pursuit,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",35714.42,fishbase 150cm median length,ERG,Electrophysiology,range,80,100,range of individual lower fusion frequency (not averaged),,
"Fritsches, KA; Brill, RW; Warrant, EJ 2005 Warm eyes provide superior vision in swordfishes Warm eyes provide superior vision in swordfishes Fritsches, KA; Brill, RW; Warrant, EJ",y,M,Actinopterygii,Yellowfin tuna,Thunnus albacares,Thunnus_albacares,"Thunnus albacaresÊBonnaterre, 1788",pelagic,high,pursuit,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",35714.42,fishbase 150cm median length,ERG,Electrophysiology,minimum,50,50,"diagram reading; at 25 ¡C, maximum for experiment",,
"Fritsches, KA; Brill, RW; Warrant, EJ 2005 Warm eyes provide superior vision in swordfishes Warm eyes provide superior vision in swordfishes Fritsches, KA; Brill, RW; Warrant, EJ",y,M,Actinopterygii,Bigeye tuna,Thunnus obesus,Thunnus_obesus,"Thunnus obesusÊLowe, 1839",pelagic,low,pursuit,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",210000,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",ERG,Electrophysiology,extrapolation,38,38,diagram readings; at 25¡C,,
"Fritsches, KA; Brill, RW; Warrant, EJ 2005 Warm eyes provide superior vision in swordfishes Warm eyes provide superior vision in swordfishes Fritsches, KA; Brill, RW; Warrant, EJ",y,M,Actinopterygii,Swordfish,Xiphias gladius,Xiphias_gladius,"Xiphias gladiusÊLinnaeus, 1758",pelagic,low,pursuit,Description_fishbase,354844,total_common_length_of_300_fishbase_allometry,ERG,Electrophysiology,minimum,40,40,"at 20¡C, 5 Hz at 10¡C but eye biological temperature between 19¡C and 28¡C",,
"Crozier, W. J., & Wolf, E. (1939). The flicker response contours for genetically related fishes. II. The Journal of General Physiology, 22(4), 463–485.",y,,Actinopterygii,Green swordtail,Xiphophorus hellerii,Xiphophorus_hellerii,,pelagic,high,forage,"Mackey, Brandon, Keaton Vanderploeg, and Lara A. Ferry. 2014. “ Variation in Prey Capture Mechanics in the Swordtail, Xiphophorus Helleri in Response to Food Type .” Journal of the Arizona-Nevada Academy of Science 45(2): 59–63.",1.84,"Royle, N. J., Lindström, J., & Metcalfe, N. B. (2005). A poor start in life negatively affects dominance status in adulthood independent of body size in green swordtails Xiphophorus helleri. Proceedings of the Royal Society B: Biological Sciences, 272(1575), 1917–1922. https://doi.org/10.1098/rspb.2005.3190",Optomotor,Behavioural,,43,,,,
"Crevier DW, Meister M. Synchronous period-doubling in flicker vision of salamander and man. J Neurophysiol. 1998 Apr;79(4):1869-78.",y,Not_appraised,Amphibia,Tiger salamander,Ambystoma tigrinum,Ambystoma_tigrinum,,terrestrial,low,ballistic,Handbook_of_lizards_of_the_world,23,"Alvarado, R. H. (1965). The effects of dehydration on water and electrolytes in ambystoma tigrinum1. 43–53.",ERG,Electrophysiology,,30,30,,,
"Inger, R., Bennie, J., Davies, T. W., & Gaston, K. J. (2014). Potential Biological and Ecological Effects of Flickering Artificial Light. PLoS ONE, 9(5), 98631. https://doi.org/10.1371/journal.pone.0098631.t001",y,,Amphibia,Green frog,Rana clamitans,Rana_clamitans,,terrestrial,low,ballistic,"Shepard, Donald B. 2004. “Seasonal Differences in Aggression and Site Tenacity in Male Green Frogs, Rana Clamitans.” Copeia 2004(1): 159–64.",50,https://web.archive.org/web/20030918013054/http://www.epa.gov/NCEA/pdfs/c2443-431.pdf,ERG,Electrophysiology,,21,,,,
"Nowak, L. M.; Green, D. G. 1983 Flicker fusion characteristics of rod receptors in the toad Flicker fusion characteristics of rod receptors in the toad Nowak, L. M.; Green, D. G.",y,M,Amphibia,Bufo Toad,Bufo marinus,Bufo_marinus,"Rhinella marina Linnaeus, 1758",terrestrial,low,ballistic,"Lever, C., 2001. The cane toad: the history and ecology of a successful colonist. Westbury Academic & Scientific Pub..",2000,"Lever, C., 2001. The cane toad: the history and ecology of a successful colonist. Westbury Academic & Scientific Pub..",ERG,Electrophysiology,Unknown,19,19,"diagram reading at maximum intensity tested; value from ERG; values of intracellulat recordings: 4.2-6.7 Hz CFF for individual rods, 16 Hz for one Horizontal cell at 1000 quanta/rod/sec",,
"Fenk, Lisa M.; Schmid, Axel 2011 Flicker-induced eye movements and the behavioural temporal cut-off frequency in a nocturnal spider Flicker-induced eye movements and the behavioural temporal cut-off frequency in a nocturnal spider Fenk, Lisa M.; Schmid, Axel",y,M,Arachnida,Tiger wandering spider,Cupiennius salei,Cupiennius_salei,"Cupiennius saleiÊKeyserling, 1877",terrestrial,low,ballistic,"Based on description in Malli, H., Kuhn-Nentwig, L., Imboden, H. and Nentwig, W., 1999. Effects of size, motility and paralysation time of prey on the quantity of venom injected by the hunting spider Cupiennius salei. Journal of Experimental Biology, 202(15), pp.2083-2089.",3.75,"mass from The influence of hunger and breeding temperature on the venom production of the spider Cupiennius salei (Araneae, Ctenidae)",Eye muscle electrical signal reading,Electrophysiology,range,6.45,8.6,"between 4.3 and 8.6 Hz; still responses at 8,3 cycles.s-1 ; ""We measured a luminosity of 56.0±0.5cdmÐ2 for the bright squares, 2.15±0.05 cdmÐ2 for the dark squares and 28.0±0.5cdmÐ2 for the checkerboard pattern (Luminance Meter, LS100, Konica Minolta, Tokyo, Japan).""",,
"DeVoe, R.D., 1962. Linear superposition of retinal action potentials to predict electrical flicker responses from the eye of the wolf spider, Lycosa baltimoriana (Keyserling). The Journal of General Physiology, 46(1), pp.75-96.",y,Not_appraised,Arachnida,wolf spider,Lycosa_baltimoriana,Lycosa_beihaiensis,,terrestrial,low,ballistic,"Uiterwaal, S.F., 2022. Foraging, Diet, and Metabolism in a Generalist Predator (Doctoral dissertation, The University of Nebraska-Lincoln).",0.27,"mass from synonym Hogna baltimoriana from Uiterwaal, S.F. and DeLong, J.P., 2019. Body condition helps to explain metabolic rate variation in wolf spiders. ",ERG,Electrophysiology,,10,10,,,
"Inger, R., Bennie, J., Davies, T. and Gaston, K., 2014. Potential Biological and Ecological Effects of Flickering Artificial Light. PLoS ONE, 9(5), p.e98631.",y,Not_appraised,Arachnida,dimorphic jumping spider,Maevia inclemens,Maevia_inclemens,,terrestrial,high,ballistic,"Lietzenmayer, L. and Taylor, L., 2018. Dimorphic Jumper Maevia inclemens (Walckenaer 1837)(Arachnida: Araneae: Salticidae). Department of Entomology and Nematology, UF/IFAS Extension, EENY-702, pp.1-3.",0.028,"using 6.5mm length and overall allometric equation from Penell, A., Raub, F. and Höfer, H., 2018. Estimating biomass from body size of European spiders based on regression models. The Journal of Arachnology, 46(3), pp.413-419.",ERG,Electrophysiology,,40,40,,,
"Petie, Ronald; Hall, Michael R.; Hyldahl, Mia; Garm, Anders 2016 Visual orientation by the crown-of-thorns starfish (Acanthaster planci) Visual orientation by the crown-of-thorns starfish (Acanthaster planci) Petie, Ronald; Hall, Michael R.; Hyldahl, Mia; Garm, Anders",y,H,Asteroidea,Crown-of-thorns starfish,Acanthaster planci,Acanthaster_planci,"Acanthaster planciÊLinnaeus, 1758",demersal,high,forage,Feeds_on_bivaves_sealife_base,1640,"median_wet_mass_from_Kettle, B.T. and Lucas, J.S., 1987. Biometric relationships between organ indices, fecundity, oxygen consumption and body size in Acanthaster planci (L.)(Echinodermata; Asteroidea). Bulletin of Marine Science, 41(2), pp.541-551.",ERG,Electrophysiology,range,0.65,0.7,threshold value of 10%,,
"Bornschein, H. and Tansley, K., 1961. Elektroretinogramm und Netzhautstruktur der Sumpfohreule (Asio flammeus). Experientia, 17(4), pp.185-187.",y,Not_appraised,Aves,The short-eared owl,Asio_flammeus,Asio_flammeus,,volant,low,ballistic,Handbook_birds_of_the_world,343.75,amniote,ERG,Electrophysiology,,67.5,67.5,,,
"Porciatti, V; Fontanesi, G; Bagnoli, P 1989 The electroretinogram of the little owl (Athene noctua) The electroretinogram of the little owl (Athene noctua) Porciatti, V; Fontanesi, G; Bagnoli, P",y,M,Aves,Little owl,Athene noctua,Athene_noctua,"Athene noctuaÊScopoli, 1769",volant,low,ballistic,Handbook_of_birds_of_the_world,169,amniote,ERG,Electrophysiology,Unknown,50,50,diagram reading at maximal intensity,,
AULT S J; HOUSE E W 1987 ELECTRORETINOGRAPHIC RESPONSES OF THE GREAT HORNED OWL BUBO-VIRGINIANUS ELECTRORETINOGRAPHIC RESPONSES OF THE GREAT HORNED OWL BUBO-VIRGINIANUS AULT S J; HOUSE E W,y,H,Aves,Great horned owl,Bubo virginianus,Bubo_virginianus,"Bubo virginianusÊJ.F.Gmelin, 1788",volant,low,ballistic,Handbook_birds_of_the_world,1377,amniote,ERG,Electrophysiology,range,40,45,"range and maximum photopic ; mean and SEscotopic = 16 ± 3,7 Hz",,
"Goller, Benjamin; Fellows, Tyee K.; Dakin, Roslyn; Tyrrell, Luke; Fernandez-Juricic, Esteban; Altshuler, Douglas L. 2019 Spatial and Temporal Resolution of the Visual System of the Anna's Hummingbird (Calypte anna) Relative to Other Birds Spatial and Temporal Resolution of the Visual System of the Anna's Hummingbird (Calypte anna) Relative to Other Birds Goller, Benjamin; Fellows, Tyee K.; Dakin, Roslyn; Tyrrell, Luke; Fernandez-Juricic, Esteban; Altshuler, Douglas L.",y,M,Aves,Anna's hummingbird,Calypte anna,Calypte_anna,"Calypte annaÊR.Lesson, 1829",volant,high,forage,Handbook_birds_of_the_world,4.4,amniote,Behavioural,Behavioural,extrapolation,75,80,estimation of limit of temporal visual resolution,,
"Delius, Juan D.; Delius, Julia A. M.; Lee, Jennifer M. 2017 Symmetry recognition by pigeons: Generalized or not? Symmetry recognition by pigeons: Generalized or not? Delius, Juan D.; Delius, Julia A. M.; Lee, Jennifer M.",y,M,Aves,Common pigeon,Columba livia,Columba_livia,"Columba liviaÊJ.F.Gmelin, 1789",volant,high,forage,Handbook_birds_of_the_world,320,amniote,Behavioural,Behavioural,mean,70,74,for each peak wavelength average and range in parenthesis ; 810 nm: 38 (34Ð42) Hz; 660 nm: 59 (57Ð63) Hz; 565 nm: 73 (70Ð74) Hz; 470 nm: 52 (48Ð57) Hz; 375 nm:63 (58Ð65) Hz,,This seems to have a very low result for humans
